constituency_code,constituency_name,state,bjp_pct,congress_pct,regional_pct,others_pct,total_votes,winner
LS201,Indore,Madhya Pradesh,57.8,30.2,8.9,3.1,61234,BJP
LS202,Ujjain,Madhya Pradesh,56.2,32.1,8.4,3.3,52341,BJP
LS203,Dewas,Madhya Pradesh,54.1,34.5,8.9,2.5,48765,BJP
LS204,Ratlam,Madhya Pradesh,55.9,31.2,9.3,3.6,50123,BJP
LS205,Mandsaur,Madhya Pradesh,54.8,32.8,9.1,3.3,49234,BJP
LS206,Chittorgarh,Rajasthan,61.2,26.5,9.8,2.5,56234,BJP
LS207,Udaipur,Rajasthan,46.8,36.9,12.2,4.1,59876,Congress
LS208,Banswara,Rajasthan,50.9,33.8,11.8,3.5,48765,BJP
LS209,Dungarpur,Rajasthan,50.2,34.5,11.9,3.4,47234,BJP
LS210,Rajsamand,Rajasthan,54.1,31.8,11.2,2.9,50123,BJP
